type,column,index,value,limit,detection_method
physical_limit_violation,tank_pressure,2026-01-01 16:00:10,49.59902359227084,100 < x < 400,physical_limits
physical_limit_violation,tank_pressure,2026-01-01 16:41:10,486.3861649221884,100 < x < 400,physical_limits
physical_limit_violation,tank_pressure,2026-01-01 21:34:10,-121.46184901133802,100 < x < 400,physical_limits
physical_limit_violation,tank_pressure,2026-01-01 21:39:30,-100.71262978756934,100 < x < 400,physical_limits
physical_limit_violation,tank_pressure,2026-01-02 13:51:30,-153.12909113213456,100 < x < 400,physical_limits
physical_limit_violation,tank_pressure,2026-01-02 14:58:00,-125.31697942538104,100 < x < 400,physical_limits
physical_limit_violation,tank_pressure,2026-01-02 15:20:50,-98.95563827955036,100 < x < 400,physical_limits
physical_limit_violation,tank_pressure,2026-01-02 20:18:30,431.3916115267249,100 < x < 400,physical_limits
physical_limit_violation,compressor_power,2026-01-01 08:08:20,-173.86491482270648,0 < x < 200,physical_limits
physical_limit_violation,compressor_power,2026-01-01 09:05:00,-139.82413004103773,0 < x < 200,physical_limits
physical_limit_violation,compressor_power,2026-01-01 10:28:10,-135.86544131273234,0 < x < 200,physical_limits
physical_limit_violation,compressor_power,2026-01-01 22:16:30,526.7281568551033,0 < x < 200,physical_limits
physical_limit_violation,compressor_power,2026-01-02 00:43:30,-143.24627416499789,0 < x < 200,physical_limits
physical_limit_violation,compressor_power,2026-01-02 05:38:40,-379.97183636353,0 < x < 200,physical_limits
physical_limit_violation,compressor_power,2026-01-02 06:00:40,303.7139284423931,0 < x < 200,physical_limits
physical_limit_violation,compressor_power,2026-01-02 17:29:50,-456.7395986895802,0 < x < 200,physical_limits
physical_limit_violation,compressor_power,2026-01-02 20:00:30,277.2807559740584,0 < x < 200,physical_limits
physical_limit_violation,compressor_power,2026-01-02 20:04:10,336.2702366622178,0 < x < 200,physical_limits
operating_mode_inconsistency,compressor_power,2026-01-02 06:00:40,303.7139284423931,compressor active only during CHARGING,operating_logic
operating_mode_inconsistency,compressor_power,2026-01-02 20:00:30,277.2807559740584,compressor active only during CHARGING,operating_logic
operating_mode_inconsistency,compressor_power,2026-01-02 20:04:10,336.2702366622178,compressor active only during CHARGING,operating_logic
